"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"13120","28/03/2020",28,3,2020,7871,769,"Spain","ES","ESP",46723749,"Europe",2020.23770491803
"13119","29/03/2020",29,3,2020,8189,832,"Spain","ES","ESP",46723749,"Europe",2020.24043715847
"13118","30/03/2020",30,3,2020,6549,838,"Spain","ES","ESP",46723749,"Europe",2020.24316939891
"13117","31/03/2020",31,3,2020,6398,812,"Spain","ES","ESP",46723749,"Europe",2020.24590163934
"13116","01/04/2020",1,4,2020,9222,849,"Spain","ES","ESP",46723749,"Europe",2020.24863387978
"13115","02/04/2020",2,4,2020,7719,864,"Spain","ES","ESP",46723749,"Europe",2020.25136612022
"13114","03/04/2020",3,4,2020,8102,950,"Spain","ES","ESP",46723749,"Europe",2020.25409836066
"13113","04/04/2020",4,4,2020,7472,932,"Spain","ES","ESP",46723749,"Europe",2020.25683060109
"13112","05/04/2020",5,4,2020,7026,809,"Spain","ES","ESP",46723749,"Europe",2020.25956284153
"13111","06/04/2020",6,4,2020,6023,674,"Spain","ES","ESP",46723749,"Europe",2020.26229508197
"13110","07/04/2020",7,4,2020,4273,637,"Spain","ES","ESP",46723749,"Europe",2020.2650273224
"13109","08/04/2020",8,4,2020,5478,743,"Spain","ES","ESP",46723749,"Europe",2020.26775956284
"13108","09/04/2020",9,4,2020,6180,757,"Spain","ES","ESP",46723749,"Europe",2020.27049180328
"13107","10/04/2020",10,4,2020,5756,683,"Spain","ES","ESP",46723749,"Europe",2020.27322404372
"13106","11/04/2020",11,4,2020,4576,605,"Spain","ES","ESP",46723749,"Europe",2020.27595628415
"13105","12/04/2020",12,4,2020,4830,510,"Spain","ES","ESP",46723749,"Europe",2020.27868852459
"13104","13/04/2020",13,4,2020,4167,619,"Spain","ES","ESP",46723749,"Europe",2020.28142076503
"13103","14/04/2020",14,4,2020,3477,517,"Spain","ES","ESP",46723749,"Europe",2020.28415300546
"13102","15/04/2020",15,4,2020,7968,787,"Spain","ES","ESP",46723749,"Europe",2020.2868852459
"13101","16/04/2020",16,4,2020,4040,617,"Spain","ES","ESP",46723749,"Europe",2020.28961748634
"13100","17/04/2020",17,4,2020,4400,585,"Spain","ES","ESP",46723749,"Europe",2020.29234972678
"13099","18/04/2020",18,4,2020,4104,565,"Spain","ES","ESP",46723749,"Europe",2020.29508196721
"13098","19/04/2020",19,4,2020,-1430,410,"Spain","ES","ESP",46723749,"Europe",2020.29781420765
"13097","20/04/2020",20,4,2020,2585,399,"Spain","ES","ESP",46723749,"Europe",2020.30054644809
"13096","21/04/2020",21,4,2020,3352,430,"Spain","ES","ESP",46723749,"Europe",2020.30327868852
"13095","22/04/2020",22,4,2020,2627,435,"Spain","ES","ESP",46723749,"Europe",2020.30601092896
"13094","23/04/2020",23,4,2020,3052,440,"Spain","ES","ESP",46723749,"Europe",2020.3087431694
"13093","24/04/2020",24,4,2020,2767,367,"Spain","ES","ESP",46723749,"Europe",2020.31147540984
"13092","25/04/2020",25,4,2020,2944,378,"Spain","ES","ESP",46723749,"Europe",2020.31420765027
